% Model,yuinrods.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 13 2026, 13:14"
% Table,Table 6 - Global Evaluation 2 (freq*a/c_const)
% U,lambda (THz),freq*a/c_const (1)
3,1.4329651943536976+3.4852234695934984E-15i,1.433957215515106+3.487636239594958E-15i
3,1.4473033957545551-2.2841754850065726E-16i,1.4483053430462434-2.2857567867900523E-16i
4,1.1902914955878582E-7+3.881557614791278E-7i,1.1911155172434573E-7+3.884244761212049E-7i
4,1.4179456739657008E-7+1.9618493990701785E-6i,1.4189272973295088E-7+1.963207559147647E-6i
4,1.8422247123424324E-7+1.5740064281011236E-6i,1.843500057972538E-7+1.5750960900768792E-6i
4,2.6162724788638643E-7-1.522052856564242E-6i,2.618083686612153E-7-1.5231065518308421E-6i
4,3.638624417016261E-7-3.3018615682795814E-7i,3.641143384283797E-7-3.3041473994781895E-7i
4,5.205869961808789E-7-2.2459295721799484E-6i,5.209473910589961E-7-2.2474843968689315E-6i
4,1.1205762562835728E-6+6.599738556885146E-7i,1.1213520150832876E-6+6.604307460815254E-7i
4,1.5284651296906727E-6-4.0382566582707117E-7i,1.529523264081586E-6-4.041052285181949E-7i
4,1.5906701065127354E-6-9.344310701055083E-7i,1.591771304513006E-6-9.350779632743544E-7i
4,1.6335041429759254E-6+7.0647638703374E-8i,1.634634994362592E-6+7.069654704593069E-8i
4,1.8950179095074508E-6-2.669814536880669E-8i,1.8963298031074393E-6-2.671662811024421E-8i
4,0.04038827755323534+5.973943289008707E-15i,0.040416237775970344+5.9780789638897845E-15i
4,0.051620255628776236-4.658942143583109E-16i,0.05165599158813018-4.662167462114515E-16i
4,0.5752425870745477,0.575640819230897
4,0.6263386145034343+4.272471548298903E-16i,0.6267722197035066+4.275429318804514E-16i
4,0.6276190118438909,0.6280535034445972
4,0.6332605092415968,0.6336989063696827
4,0.8145753526529769+2.786378819702142E-16i,0.8151392714352175+2.788307789619719E-16i
4,0.8238151976682497+2.385435971474572E-16i,0.8243855130620895+2.387087374434121E-16i
4,0.8893563935289175,0.889972082148495
4,0.9365539672626547+5.076439473177735E-16i,0.9372023300826214+5.079953819096143E-16i
4,0.9702181689419761-2.223904933794002E-16i,0.9708898370038141-2.2254445111431075E-16i
4,1.0556493772174012-7.701192085238011E-16i,1.0563801880740453-7.70652350957876E-16i
4,1.063904451378677-6.222180615341407E-16i,1.0646409771042442-6.226488141347512E-16i
4,1.0726716162478076,1.073414211355318
4,1.1184154197216631+1.206049256712173E-15i,1.119189682605354+1.2068841872387993E-15i
4,1.1253017756441266,1.1260808058528209
4,1.1412372726301476-7.056403087378372E-16i,1.1420273347538459-7.061288133584439E-16i
4,1.1644087962799772-1.6118430930222209E-16i,1.1652148997157-1.6129589487760436E-16i
4,1.1913529581856495,1.192177714676514
4,1.3105026306691807+6.55129862050277E-16i,1.3114098727618897+6.555833990162725E-16i
4,1.3219565313932382+1.9633220248773737E-15i,1.322871702856419+1.9646812044324745E-15i
4,1.3244598781985588+6.323833275032661E-16i,1.3253767826926708+6.328211173710707E-16i
4,1.3409542754153037+1.517351719068074E-15i,1.3418825987429979+1.518402159804908E-15i
4,1.3775079731342155+5.192042094292862E-16i,1.3784616020602647+5.195636470240551E-16i
4,1.3832824415464708,1.3842400680538176
4,1.4222746836129074,1.4232593038877321
4,1.432159822189536,1.4331512858033963
4,1.4355743173929865+5.501248124301847E-16i,1.4365681448126888+5.505056559129829E-16i
4,1.4523940123404897-2.6622044499496666E-16i,1.4533994837927073-2.6640474557398637E-16i
5,1.1823763118607382E-7+4.0084858075071924E-7i,1.1831948539486655E-7+4.0112608244873113E-7i
5,1.2128762978390668E-7+1.8644817139519362E-6i,1.2137159546279177E-7+1.8657724677836319E-6i
5,2.276026507296073E-7+1.5250012920818831E-6i,2.277602167659674E-7+1.5260570285079183E-6i
5,2.9564717203768565E-7-1.5297744640087046E-6i,2.95851844315929E-7-1.5308335048329044E-6i
5,3.218656616613942E-7-1.8445016565992307E-6i,3.220884846223124E-7-1.8457785785250446E-6i
5,3.7964166971302894E-7-3.1853231697370865E-7i,3.7990449017202656E-7-3.187528323081182E-7i
5,1.115776189170389E-6+5.896819085057733E-7i,1.1165486249527888E-6+5.900901367963432E-7i
5,1.3784555433473733E-6-7.095200705562098E-7i,1.3794098282626308E-6-7.100112610800333E-7i
5,1.628649391227497E-6-3.3877491558984494E-7i,1.6297768817394633E-6-3.3900944458367083E-7i
5,1.6348884067482993E-6+5.956924645166285E-8i,1.6360202164408344E-6+5.961048538285394E-8i
5,1.9070973611833233E-6-2.3968062913164035E-8i,1.908417617213696E-6-2.3984655657845834E-8i
5,0.0504404615392172-2.3180007325091817E-14i,0.05047538074411852-2.3196054510242367E-14i
5,0.0645133264797846+2.725501397985403E-16i,0.064557988126357+2.727388223340898E-16i
5,0.5720069414057521,0.5724029335712162
5,0.6257282443497829+7.416950599369746E-16i,0.6261614269993906+7.422085247424481E-16i
5,0.627758236958654,0.6281928249429015
5,0.6360709785502564,0.6365113213257584
5,0.8102864637121946,0.8108474133584053
5,0.8242921118579606+3.5773487040331427E-16i,0.8248627574126236+3.579825251007291E-16i
5,0.8893909569648646-2.9446623854195837E-16i,0.8900066695122109-2.946700932769546E-16i
5,0.9393333773663665-5.64403675524187E-16i,0.9399836643319089-5.647944040582105E-16i
5,0.9696158330126856+1.9420182417243462E-16i,0.9702870840860368+1.9433626729772628E-16i
5,1.051025120296168+2.2107656681969446E-15i,1.0517527298463605+2.2122961494217555E-15i
5,1.0601081568204076+3.381500400422943E-16i,1.0608420544259398+3.383841364437803E-16i
5,1.0723705360661735,1.0731129227402112
5,1.1171593445602745-3.1173423474808534E-15i,1.1179327378812256-3.1195004386810023E-15i
5,1.1264046429245451-1.110079058654372E-15i,1.1271844366323702-1.110847550395386E-15i
5,1.1471509992575095-8.532527842899199E-16i,1.1479451553689615-8.538434789009134E-16i
5,1.1698040725945715+8.152260028181617E-16i,1.1706139111023648+8.157903720361388E-16i
5,1.1908056620359722-5.155198422688738E-16i,1.1916300396415964-5.158767292293328E-16i
5,1.3104379800092754-2.863629670714129E-16i,1.311345177345264-2.865612120283021E-16i
5,1.3208355753234844+2.9154909649242924E-15i,1.321749970764926+2.9175093173200763E-15i
5,1.3244656773649677+1.4661162687113777E-15i,1.3253825858737591+1.4671312398840043E-15i
5,1.3409377419636974-1.8866059791542248E-15i,1.3418660538455216-1.8879120492960083E-15i
5,1.3720383321148395-1.421430387083951E-15i,1.3729881744872043-1.4224144228644513E-15i
5,1.3789568921770832+2.9303454668102696E-16i,1.3799115241689133+2.932374102763722E-16i
5,1.4186745945744694+1.0077032575640166E-15i,1.4196567225595143+1.0084008760127148E-15i
5,1.4382688356183368-1.0972819345280257E-15i,1.4392645284141905-1.0980415670043564E-15i
5,1.4387995623699366+9.468326367606744E-16i,1.4397956225802748+9.474881153554646E-16i
5,1.458130991759952-5.659664216891633E-16i,1.4591404348403776-5.663582320898446E-16i
6,4.769476199312966E-8+1.8341703633973517E-6i,4.7727780389788513E-8+1.83544013311771E-6i
6,1.1025842143601132E-7+4.139777833951751E-7i,1.1033475175283894E-7+4.1426437425104436E-7i
6,1.2561357978282902E-7-1.7456810875486196E-6i,1.2570054025458075E-7-1.7468895974180438E-6i
6,2.3569011520482724E-7+1.4328227598028849E-6i,2.3585328007633924E-7+1.433814682358905E-6i
6,3.2394146770266174E-7-1.435597788447369E-6i,3.2416572771419926E-7-1.4365916321157442E-6i
6,3.8822426289645385E-7-2.8000725355509205E-7i,3.884930249610754E-7-2.802010985430714E-7i
6,1.1247781013665968E-6+5.107754321918106E-7i,1.1255567690431325E-6+5.111290346655191E-7i
6,1.25455849812834E-6-6.064628133445952E-7i,1.2554270109039966E-6-6.068826588138469E-7i
6,1.6393075330333227E-6-2.2107099578279544E-7i,1.640442402023325E-6-2.2122404004852796E-7i
6,1.640645713868931E-6+5.3548443766338795E-8i,1.6417815092622484E-6+5.358551458256377E-8i
6,1.916838832900188E-6-1.710075442804363E-8i,1.918165832811099E-6-1.7112593033988496E-8i
6,0.060462290272016786+9.024929674989933E-15i,0.060504147444579916+9.031177503794907E-15i
6,0.07739829934543674+4.727364840431662E-16i,0.07745188107310898+4.730637527010431E-16i
6,0.5683811767485222-1.2261203605528074E-16i,0.5687746588493452-1.2269691860154874E-16i
6,0.6249561220520122+6.443432587162576E-16i,0.625388770172476+6.447893282721517E-16i
6,0.6279263110123557,0.6283610153518495
6,0.6391857200599973+7.433985377977565E-17i,0.6396282191261768+7.439131818964135E-17i
6,0.8053770490559752-1.550148546158882E-16i,0.8059345999851423-1.551221691666655E-16i
6,0.8248701062029585+3.008866007957042E-16i,0.8254411518947803+3.010949002549999E-16i
6,0.8893929332882269,0.8900086472037534
6,0.942378669208411-2.604625450842661E-16i,0.9430310643856267-2.6064285955212334E-16i
6,0.9688966170371195+4.192294136772696E-16i,0.9695673702076115+4.195196401611306E-16i
6,1.0458373864883634-3.354625912224588E-16i,1.046561404645173-3.3569482714184103E-16i
6,1.0563000034361474-1.7145541763612773E-16i,1.05703126471195-1.715741137518487E-16i
6,1.0720020096072505+1.4016179430424015E-16i,1.0727441411557297+1.402588262953301E-16i
6,1.116180667335754-2.1846823198171215E-16i,1.1169533831325609-2.1861947439155939E-16i
6,1.127736046364378+9.02805938040765E-16i,1.1285167617836247+9.034309375862602E-16i
6,1.1535473375515222-3.973539055267441E-16i,1.1543459217558323-3.9762898791144115E-16i
6,1.1753021343294663+2.669001847690923E-16i,1.176115779066196+2.670849559221656E-16i
6,1.1901442367746946+4.260575722012485E-16i,1.1909681564851387+4.263525257208924E-16i
6,1.3103609531286073+5.083527340912512E-16i,1.3112680971399961+5.08704659365965E-16i
6,1.3197197248105956+3.2243666797575122E-15i,1.3206333477648016+3.2265988623611524E-15i
6,1.3244726265115416,1.325389539831127
6,1.3409406036466327+1.362998820176279E-15i,1.3418689175095586+1.3639424046247475E-15i
6,1.3666190055462133-1.1099163122942822E-15i,1.3675650961968628-1.1106846913683353E-15i
6,1.374483087525256+3.6322986433199107E-16i,1.3754346223665734+3.6348132313454433E-16i
