% Model,yuin.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 12 2026, 12:36"
% Table,Table 3 - Global Evaluation 1 (freq*a/(c_const))
% U,lambda (THz),freq*a/(c_const) (1)
5,2.333887776467719E-5+2.0912671710156243E-5i,2.3355034933544446E-5+2.0927149251522773E-5i
5,0.03870843403246165+6.757710587240948E-14i,0.03873523132372628+6.762388852931998E-14i
5,0.04497424956606901+8.901461309510736E-15i,0.04500538459116508+8.907623662944917E-15i
5,0.4343325952013413-4.2758115216663697E-16i,0.4346332774002019-4.278771604387429E-16i
5,0.4783834487214697-6.681032183719528E-17i,0.4787146266916458-6.685657366056416E-17i
5,0.5134439649418023-7.892280066193215E-17i,0.5137994148022919-7.897743777990453E-17i
5,0.5268281695199902-7.142702069766191E-17i,0.5271928850725026-7.147646859514582E-17i
5,0.6047542257894029-1.224508033933756E-16i,0.6051728884281034-1.225355743205944E-16i
5,0.6199000392497561-1.3466353896570414E-16i,0.6203291871169314-1.3475676459382855E-16i
5,0.7016556682418453+2.5814392931699276E-16i,0.7021414143532376+2.5832263864055526E-16i
5,0.7825092151397005+5.059001263072987E-16i,0.7830509349968708+5.062503536769747E-16i
5,0.7969087134270868,0.797460401849489
5,0.8407019931688612+3.656587098085206E-16i,0.8412839990479626+3.6591185006580843E-16i
5,0.8474301829417276+1.5595389174709698E-15i,0.8480168466496854+1.5606185637975286E-15i
5,0.8690702586970098-2.1388754111635105E-15i,0.869671903517676-2.1403561237989954E-15i
5,0.8778336360740981-1.1269054308290041E-15i,0.8784413476546812-1.1276855712250813E-15i
5,0.8931065277656132+3.288512623120913E-16i,0.8937248125491+3.2907892130370867E-16i
5,0.9454990978163512-8.951634147037988E-16i,0.9461536532213406-8.957831234404825E-16i
5,0.960676988403467+1.2517189480678755E-15i,0.9613420512434642+1.2525854950639306E-15i
5,0.9801024416629379+4.4107456893992665E-16i,0.9807809524643926+4.413799185100847E-16i
5,0.984138829779411-2.5282893083827087E-16i,0.9848201349142122-2.5300396066495196E-16i
5,0.9932163063780421+7.232777111504062E-16i,0.9939038957191265+7.237784258906268E-16i
5,1.0230249331902115-1.5830208321097368E-15i,1.0237331586142284-1.5841167346275302E-15i
5,1.0456523075586364-5.142872273552306E-16i,1.0463761975879688-5.146432609941415E-16i
6,1.0955028081965132E-7-4.8847652451512575E-6i,1.0962612090093139E-7-4.888146897762775E-6i
6,8.722782359331308E-7+2.4906216837310092E-6i,8.728821015902249E-7+2.492345905243896E-6i
6,1.4936402617003089E-6-2.105301202941426E-6i,1.4946742873367835E-6-2.106758672636213E-6i
6,2.1931034448071644E-6+1.222535786475714E-6i,2.1946216987291563E-6+1.2233821303893982E-6i
6,4.351216505728939E-6-1.4339124737395057E-8i,4.354228790234214E-6-1.4349051506887865E-8i
6,5.9472095852238165E-6+1.0995933492519032E-7i,5.951326752746878E-6+1.1003545818873501E-7i
6,1.6668067862180045E-5+1.4267310458121153E-5i,1.667960692544845E-5+1.4277187511622944E-5i
6,0.046424354037820324-2.6964123843139438E-14i,0.04645649294935264-2.6982790717643172E-14i
6,0.053927288573999414-3.896761291117445E-15i,0.05396462165902727-3.899458962824319E-15i
6,0.43211365192637763-2.1639254239252425E-16i,0.43241279798277404-2.165423478323703E-16i
6,0.4762522607493958-1.456202573482538E-16i,0.4765819633288398-1.4572106815467698E-16i
6,0.5135771849280548,0.5139327270148218
6,0.5311220807237291,0.5314897688891117
6,0.599796103710544-4.442203661326541E-16i,0.6002113339127537-4.445278934928917E-16i
6,0.6208125735154119-2.1006792600842097E-16i,0.6212423531169138-2.1021335300745386E-16i
6,0.7042978653842561+5.459006245174159E-16i,0.7047854406506677+5.462785436557739E-16i
6,0.7844902315388294-5.286081103067254E-16i,0.7850333228251152-5.289740580866033E-16i
6,0.7945327152900588+1.6943464444048036E-16i,0.7950827588431781+1.6955194160402829E-16i
6,0.8392382437069866+1.2332247714549118E-16i,0.8398192362534216+1.2340785151989164E-16i
6,0.8474379714418756-4.009886187558496E-16i,0.8480246405416999-4.012662174001551E-16i
6,0.8668289741107408+2.282001691855944E-16i,0.8674290673223748+2.28358148875374E-16i
6,0.8800636689929255-2.7398540318052553E-16i,0.8806729243931735-2.7417507932823864E-16i
6,0.8872002171157933+9.850494203712525E-16i,0.8878144130455009+9.857313558948029E-16i
6,0.9412956082481699-5.686203975314262E-16i,0.9419472536378849-5.690140452413511E-16i
6,0.9582193719240752+7.104143135823351E-16i,0.9588827333915871+7.109061231777235E-16i
6,0.9848918136822196+7.596263053858196E-16i,0.9855736400969296+7.601521837342081E-16i
6,0.9903013258357455-1.1734803857797318E-15i,0.9909868971777922-1.174292769346184E-15i
6,0.9983708095935077+5.596466051400814E-16i,0.9990619673229147+5.600340404228061E-16i
6,1.026086636103992-6.133342694287568E-16i,1.0267969811008308-6.137588719080686E-16i
6,1.042563538872033-4.4348697498128076E-16i,1.0432852905912993-4.437939946253892E-16i
7,1.1790305539435357E-8+4.80931201578921E-6i,1.1798467798114544E-8+4.812641433216985E-6i
7,1.1818660446339605E-6+2.4185049508588526E-6i,1.1826842334712375E-6+2.4201792469964534E-6i
7,1.5206480732991097E-6-1.9747317982985286E-6i,1.521700796054492E-6-1.976098876675405E-6i
7,2.036945840080823E-6+1.6729556261118823E-6i,2.038355988342598E-6+1.6741137891920037E-6i
7,4.537517276860943E-6+1.2370319708656987E-7i,4.5406585347063096E-6+1.2378883502790106E-7i
7,5.886716034559905E-6+1.377144658519484E-7i,5.890791323269285E-6+1.378098035928059E-7i
7,1.3882346566378628E-5+9.560718647615756E-6i,1.389195711492378E-5+9.567337395408148E-6i
7,0.05412602452535671+3.838716880567325E-14i,0.054163495192420794+3.841374368964937E-14i
7,0.06285671167403142+3.5800055864502565E-15i,0.06290022647003823+3.582483972745829E-15i
7,0.429435103210508+3.9606136552308777E-16i,0.4297323949462144+3.9633555310096E-16i
7,0.47440268342913156,0.4747311055728408
7,0.513732245348271,0.5140878947811331
7,0.535580553454494+8.938396233418559E-17i,0.5359513281563214+8.944584156368494E-17i
7,0.5943609164362209-2.8867054483722986E-16i,0.5947723839365775-2.8887038729696444E-16i
7,0.6218891623331073-4.3393704867041705E-16i,0.6223196872415389-4.3423745703811237E-16i
7,0.7070073278835722,0.7074967788718409
7,0.7868214258306594+9.082866872999019E-17i,0.7873661309691714+9.089154810891558E-17i
7,0.7918203167073906,0.7923684825060447
7,0.8379166994045476-1.6133535834185404E-16i,0.8384967770648996-1.6144704848631053E-16i
7,0.8474471296740242-3.044339088638808E-16i,0.8480338051139608-3.046446640734512E-16i
7,0.8633996074925021-5.397286631418253E-16i,0.8639973266030282-5.401023095202334E-16i
7,0.8810452166239854+5.599884501941816E-16i,0.8816551515355185+5.603761221313129E-16i
7,0.8833818301334395,0.8839933826488452
7,0.9371843790642653-8.180500893197818E-16i,0.9378331783092408-8.186164136121616E-16i
7,0.9555998979228342+1.746773347610707E-16i,0.9562614459662299+1.7479826136360378E-16i
7,0.9901462734343898-3.5389624578339258E-15i,0.9908317374358927-3.541412430562805E-15i
7,0.9967483322377234-4.245879875246072E-16i,0.9974383667494297-4.2488192367194957E-16i
7,1.0035936960175094+6.890852913550295E-16i,1.004288469475949+6.895623351755861E-16i
7,1.0294211428170377+8.19028174859159E-16i,1.0301337962448383+8.195951762660675E-16i
7,1.0392296429394998-6.322795040488871E-16i,1.0399490866506385-6.3271722204121E-16i
8,2.1470675977252083E-7+4.770055935046748E-6i,2.1485539816934369E-7+4.7733581760553305E-6i
8,1.393300868785946E-6+1.600990182941137E-6i,1.3942654309061498E-6+1.6020985253816529E-6i
8,1.4616035537558282E-6-1.824820577447816E-6i,1.462615400840899E-6-1.8260838744460502E-6i
8,1.6862499027027898E-6+3.1423479035803986E-6i,1.6874172692190838E-6+3.1445233057668167E-6i
8,4.577512712758293E-6+2.2773501634433859E-7i,4.580681658867775E-6+2.2789267401550697E-7i
8,5.806850633211636E-6+1.1945963517323516E-7i,5.8108706322541665E-6+1.195423353577846E-7i
8,1.2401772908405633E-5+6.527785219576425E-6i,1.2410358477135839E-5+6.5323043112476404E-6i
8,0.061810898801362556+2.566863356147185E-14i,0.06185368959618312+2.5686403586715828E-14i
8,0.07175787924949004+2.255825774744205E-15i,0.07180755619558317+2.2573874504316634E-15i
8,0.42631250337116033-1.804156872155494E-15i,0.4266076333759807-1.805405863968226E-15i
8,0.4728686018940906+6.103758483318342E-16i,0.4731959620152525+6.107984027388383E-16i
8,0.5139079795822733,0.5142637506734141
8,0.5401525875391231-4.49421191973054E-16i,0.5405265273942846-4.497323197901004E-16i
8,0.5885428513533266-4.353147259737848E-16i,0.5889502910910387-4.3561608808763105E-16i
8,0.6231288866746101-3.514188646328353E-16i,0.6235602698263444-3.5166214685044073E-16i
8,0.7097021726493501+1.360224557165608E-15i,0.7101934892398294+1.3611662210317591E-15i
8,0.7888148836652937+2.4937374482920714E-16i,0.7893609688459478+2.49546382680388E-16i
8,0.7894911606262779+3.67784766453239E-16i,0.79003771398373+3.68039378548915E-16i
8,0.8367140974281494+5.282052971077839E-16i,0.8372933425444773+5.28570966025887E-16i
8,0.8474576326594472-1.3959712114458744E-15i,0.8480443153704491-1.3969376222058338E-15i
8,0.8595319562005895-6.970465050023846E-15i,0.8601269977918419-6.975290602564637E-15i
8,0.8747294508530082+1.1152280139645522E-15i,0.8753350134508803+1.1160000702531537E-15i
8,0.887109700003642,0.8877238332696566
8,0.9331710234394325-7.244442718318058E-16i,0.9338170442961234-7.249457941651812E-16i
8,0.9528761872959362+1.3716242151011385E-15i,0.9535358497537014+1.3725737707862603E-15i
8,0.9957742770623356-2.3370317648590326E-15i,0.9964636372496757-2.3386496582836307E-15i
8,1.003384942776708-1.0261900642409683E-15i,1.0040795717182864-1.0269004808396163E-15i
8,1.0088648573494643+1.8698294696905573E-16i,1.0095632799569605+1.8711239256965137E-16i
8,1.0329713561122311+1.0754647634592172E-15i,1.0336864673015533+1.0762092922223051E-15i
8,1.0357378481196595-1.0057745446143014E-15i,1.0364548745115456-1.0064708278428086E-15i
9,5.744783918727667E-7+4.788856994999288E-6i,5.748760949877864E-7+4.792172251710836E-6i
9,1.2071777675956367E-6+3.867308959952643E-6i,1.2080134793740908E-6+3.869986242234929E-6i
9,1.2764685753085601E-6+1.4215112733435936E-6i,1.277352256115022E-6+1.4224953651204864E-6i
9,1.3506377562889778E-6-1.6921708277852887E-6i,1.3515727833509852E-6-1.6933422932727232E-6i
9,4.600868312570171E-6+2.947415081790256E-7i,4.604053427424952E-6+2.949455534792262E-7i
9,5.764907912326724E-6+8.282954700737577E-8i,5.768898875027794E-6+8.28868887095643E-8i
