% Model,SiGratingSlab80.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:22"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0.0026179938779914945,1.8987633471813834+0.0858167772831046i,1.8987633471813835E12+8.581677728310461E10i,11.062891239305529
0.0026179938779914945,2.0324285256572328+5.801742811686142E-7i,2.0324285256572327E12+580174.2811686143i,1751567.237316535
0.0026179938779914945,2.183588267065595+0.017492880190535316i,2.1835882670655947E12+1.7492880190535316E10i,62.413628953082444
0.0026179938779914945,2.2539381058589747+1.6225990733637362E-7i,2.2539381058589746E12+162259.90733637364i,6945456.036735057
0.0026179938779914945,2.295871404618455+9.855279532121588E-6i,2.295871404618455E12+9855279.532121588i,116479.26358331376
0.0026179938779914945,2.2987651828824798+1.0903320001703745E-5i,2.29876518288248E12+1.0903320001703745E7i,105415.83584281102
0.0026179938779914945,2.435089204314926+0.08429230455862088i,2.435089204314926E12+8.429230455862088E10i,14.444315036027096
0.0026179938779914945,2.5452669940975214+2.8348140222219927E-6i,2.5452669940975215E12+2834814.0222219927i,448930.1545260599
0.0026179938779914945,2.595722839422823+0.005239041492710073i,2.595722839422823E12+5.239041492710073E9i,247.7287919015981
0.0026179938779914945,2.6566563789473028+1.965198419988834E-6i,2.6566563789473027E12+1965198.419988834i,675925.736537687
0.0026179938779914945,2.706954012868339+0.034383592336415865i,2.706954012868339E12+3.438359233641586E10i,39.36403716026769
0.003490658503988659,0.5873686505756561+0.06125304713146001i,5.873686505756561E11+6.125304713146001E10i,4.794607599806895
0.003490658503988659,0.98305732685328+0.09071107895061019i,9.8305732685328E11+9.071107895061018E10i,5.418617759957023
0.003490658503988659,1.2264301244556624+0.004408698077383845i,1.2264301244556624E12+4.408698077383845E9i,139.09209736397227
0.003490658503988659,1.2371386367032808+1.361805446022029E-4i,1.2371386367032808E12+1.361805446022029E8i,4542.273789244593
0.003490658503988659,1.2478898610776907+0.4000178752420086i,1.2478898610776907E12+4.000178752420086E11i,1.559792622170602
