% Model,SiGratingSlab.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:06"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0.026179938779914945,2.254045084686562+1.6494691860003754E-5i,2.254045084686562E12+1.6494691860003754E7i,68326.37747396056
0.026179938779914945,2.283045177237814+1.2927204642338272E-5i,2.2830451772378145E12+1.2927204642338272E7i,88303.90020130668
0.026179938779914945,2.3118457986284975+1.0284708785454506E-5i,2.3118457986284976E12+1.0284708785454506E7i,112392.380127384
0.026179938779914945,2.43505258203343+0.08410706083238438i,2.43505258203343E12+8.410706083238438E10i,14.475910571207615
0.026179938779914945,2.5431522918971483+2.843052974061752E-4i,2.5431522918971484E12+2.843052974061752E8i,4472.572820660201
0.026179938779914945,2.5968611058739697+0.004930888472444335i,2.5968611058739697E12+4.930888472444335E9i,263.325881368663
0.026179938779914945,2.6575307913077935+2.6619320576594976E-4i,2.6575307913077935E12+2.6619320576594976E8i,4991.732947617803
0.026179938779914945,2.7071315892079033+0.034289473618780125i,2.7071315892079033E12+3.4289473618780125E10i,39.47467405456502
0.030543261909900768,0.5881833648983008+0.06081520874820871i,5.881833648983008E11+6.081520874820872E10i,4.835824598856001
0.030543261909900768,0.9833962504121107+0.0902614108260381i,9.833962504121107E11+9.02614108260381E10i,5.4474899151943355
0.030543261909900768,1.2141598708939922+0.002792025311123782i,1.2141598708939922E12+2.792025311123782E9i,217.43353580224104
0.030543261909900768,1.2490923544811119+0.3997172596356988i,1.2490923544811118E12+3.9971725963569885E11i,1.5624698763565164
0.030543261909900768,1.2494025702736353+0.001769435654445439i,1.2494025702736353E12+1.769435654445439E9i,353.0511457522348
0.030543261909900768,1.2588058074944501+0.48572904501575703i,1.2588058074944502E12+4.85729045015757E11i,1.2957901328029648
0.030543261909900768,1.4868470936473848+0.07982209348328968i,1.4868470936473848E12+7.982209348328969E10i,9.313506002937945
0.030543261909900768,1.6244086736935541+0.0022528322943818264i,1.6244086736935542E12+2.2528322943818264E9i,360.52587619250403
